a,b
6970-151-151-754-236-947-1371-1173-747-434-291,6970-151-151-1352-236-947-1371-1100-747-183-278
6491-150-151-1361-237-947-1371-1176-747-434-291,6981-135-151-1361-237-1147-1371-1176-1404-434-291
6491-150-151-1361-237-947-1371-1176-747-434-291,6981-147-151-1361-236-490-586-1176-1416-434-291
6970-146-151-1361-236-1053-1371-1176-747-434-291,6900-151-151-37-236-1253-1371-1176-725-434-291
6970-146-151-1361-236-1053-1371-1176-747-434-291,6958-151-151-1361-236-1253-1370-1176-1405-434-95
6970-151-138-1352-236-1253-1371-1176-720-688-291,6980-151-151-1361-236-1253-1371-1176-1404-452-291
6970-151-138-1352-236-1253-1371-1176-720-688-291,6980-151-151-1361-236-290-1336-1176-1404-452-291
6378-151-151-37-236-1253-1371-1176-720-434-291,6981-151-139-1361-236-290-490-1176-1404-434-291
6378-151-151-37-236-1253-1371-1176-720-434-291,6976-135-151-2069-236-1253-1370-1176-1405-434-291
6378-151-151-37-236-1253-1371-1176-720-434-291,5516-135-151-2069-236-1253-1370-1176-1407-434-291
6378-151-151-37-236-1253-1371-1176-720-434-291,6981-570-151-1361-236-290-1370-1176-1404-434-291
6378-151-151-37-236-1253-1371-1176-720-434-291,6981-147-151-1361-236-650-586-1176-1404-434-291
6378-151-151-37-236-1253-1371-1176-720-434-291,6981-147-151-1361-236-490-586-1176-1416-434-291
6378-151-151-37-236-1253-1371-1176-720-434-291,6980-151-151-1361-236-1253-1371-1176-1404-452-291
6378-151-151-37-236-1253-1371-1176-720-434-291,6980-151-151-1361-236-290-1336-1176-1404-452-291
6378-151-151-37-236-1253-1371-1176-720-434-291,6980-151-151-1361-236-1253-1370-1176-1404-434-95
6378-151-151-37-236-1253-1371-1176-720-434-291,6958-151-151-1361-236-1253-1370-1176-1404-434-434
6378-151-151-37-236-1253-1371-1176-720-434-291,6958-151-151-1361-236-1253-1370-1176-1405-434-95
6900-151-151-37-236-1253-1371-1176-725-434-291,6981-151-139-1361-236-290-490-1176-1404-434-291
6900-151-151-37-236-1253-1371-1176-725-434-291,6976-135-151-2069-236-1253-1370-1176-1405-434-291
6900-151-151-37-236-1253-1371-1176-725-434-291,5516-135-151-2069-236-1253-1370-1176-1407-434-291
6900-151-151-37-236-1253-1371-1176-725-434-291,6981-570-151-1361-236-290-1370-1176-1404-434-291
6900-151-151-37-236-1253-1371-1176-725-434-291,6981-147-151-1361-236-650-586-1176-1404-434-291
6900-151-151-37-236-1253-1371-1176-725-434-291,6981-147-151-1361-236-490-586-1176-1416-434-291
6900-151-151-37-236-1253-1371-1176-725-434-291,6980-151-151-1361-236-1253-1371-1176-1404-452-291
6900-151-151-37-236-1253-1371-1176-725-434-291,6980-151-151-1361-236-290-1336-1176-1404-452-291
6900-151-151-37-236-1253-1371-1176-725-434-291,6980-151-151-1361-236-1253-1370-1176-1404-434-95
6900-151-151-37-236-1253-1371-1176-725-434-291,6958-151-151-1361-236-1253-1370-1176-1404-434-434
6900-151-151-37-236-1253-1371-1176-725-434-291,6958-151-151-1361-236-1253-1370-1176-1405-434-95
6900-151-151-1352-236-947-1371-1176-748-434-291,6981-146-151-1347-236-596-1370-1176-1411-434-291
6970-151-150-1359-236-1253-1371-1176-751-434-278,6981-151-139-1361-236-1253-1274-1176-1404-434-278
6970-151-150-1359-236-1253-1371-1176-751-434-278,6981-151-139-1361-236-1253-1371-1176-1404-434-278
6964-151-147-1352-236-1253-1371-1176-748-434-278,6981-151-139-1361-236-1253-1274-1176-1404-434-278
6964-151-147-1352-236-1253-1371-1176-748-434-278,6981-151-139-1361-236-1253-1371-1176-1404-434-278
6981-147-139-754-236-947-1369-1176-1404-434-291,6981-147-151-1361-236-1051-1369-1176-1404-434-291
6981-147-139-754-236-947-1369-1176-1404-434-291,6981-151-139-1361-236-947-525-1802-1404-434-291
6981-147-139-754-236-947-1369-1176-1404-434-291,6981-147-151-1361-236-650-586-1176-1404-434-291
6981-147-151-1361-236-944-1369-1176-1407-434-291,6981-570-151-1361-236-290-1370-1176-1404-434-291
6981-147-151-1361-236-944-1369-1176-1407-434-291,6981-147-151-1361-236-650-586-1176-1404-434-291
6981-147-151-1361-236-944-1369-1176-1407-434-291,6958-151-151-1361-236-1253-1370-1176-1405-434-95
6981-147-151-1361-236-1051-1369-1176-1404-434-291,6981-147-151-1361-236-947-1369-1176-1404-434-108
6981-147-151-1361-236-1051-1369-1176-1404-434-291,6981-147-151-1361-236-947-1369-1176-1404-434-108
6981-147-151-1361-236-1051-1369-1176-1404-434-291,6959-147-151-1361-416-947-1369-1176-1404-434-291
6981-147-151-1361-236-1051-1369-1176-1404-434-291,6981-147-151-1361-236-947-1369-1176-1404-688-95
6981-147-151-1361-236-1051-1369-1176-1404-434-291,6981-147-151-1361-236-490-586-1176-1416-434-291
6981-147-151-1361-236-1051-1369-1176-1404-434-291,6958-151-151-1361-236-1253-1370-1176-1404-434-434
6981-147-151-1361-236-947-1369-1176-1404-434-108,6981-147-151-1361-236-650-586-1176-1404-434-291
6981-147-151-1361-236-947-1369-1176-1404-434-108,6981-147-151-1361-236-650-586-1176-1404-434-291
6959-147-151-1361-416-947-1369-1176-1404-434-291,6981-147-151-1361-236-650-586-1176-1404-434-291
6959-147-151-1361-416-947-1369-1176-1404-434-291,6970-147-151-2069-236-596-586-1176-1404-434-291
6959-147-151-1361-416-947-1369-1176-1404-434-291,6970-147-151-1361-236-596-586-1176-1404-688-291
6981-146-151-1361-414-947-1369-1173-1404-434-291,6981-151-139-1361-414-947-525-1878-1404-434-291
6981-146-151-1361-414-947-1334-1176-1404-434-291,6981-151-139-1361-237-947-490-1176-1404-434-291
6981-146-151-1361-414-947-1334-1176-1404-434-291,6981-146-151-1361-414-290-1370-1176-1404-434-291
6981-147-151-1361-236-947-1369-1176-1404-688-95,6981-147-151-1361-236-650-586-1176-1404-434-291
6981-147-151-1361-236-947-1369-1176-1404-688-95,6970-147-151-1361-236-596-586-1176-1404-688-291
6981-139-139-46-236-947-1309-1176-1405-434-291,6981-146-151-1347-236-596-1370-1176-1411-434-291
6981-139-139-46-236-947-1309-1176-1411-434-291,6981-146-151-1347-236-596-1370-1176-1411-434-291
6981-151-139-1361-236-290-490-1176-1404-434-291,6981-151-139-1361-236-1253-1371-1176-1404-434-278
6981-151-139-1361-236-290-490-1176-1404-434-291,6981-151-139-1361-237-759-1371-1176-1404-434-95
6981-151-139-1361-236-290-490-1176-1404-434-291,6981-135-151-1361-236-1253-1371-1176-1404-434-291
6981-151-139-1361-236-290-490-1176-1404-434-291,6981-570-151-1361-236-290-1370-1176-1404-434-291
6981-151-139-1361-236-290-490-1176-1404-434-291,6958-151-151-1361-236-1253-1370-1176-1404-434-434
6981-151-139-1361-237-947-490-1176-1404-434-291,6981-151-139-1361-237-759-1371-1176-1404-434-95
6981-151-139-1361-237-947-490-1176-1404-434-291,6981-135-151-1361-237-1147-1371-1176-1404-434-291
6981-151-151-1361-236-1253-1337-1176-1404-434-278,6981-570-151-1361-236-290-1370-1176-1404-434-291
6981-151-151-1361-236-1253-1337-1176-1404-434-278,6958-151-151-1361-236-1253-1370-1176-1404-434-434
6981-151-139-1361-236-1253-1274-1176-1404-434-278,6981-151-143-1361-236-759-587-1176-1404-434-278
6981-151-139-1361-236-1253-1274-1176-1404-434-278,6811-151-151-1361-236-1253-1370-1176-1377-434-278
6981-151-143-1361-236-759-587-1176-1404-434-278,6981-146-151-1361-236-596-1370-1176-1411-434-108
6981-151-143-1361-236-759-587-1176-1404-434-278,6981-570-151-1361-236-290-1370-1176-1404-434-291
6981-151-143-1361-236-759-587-1176-1404-434-278,6501-151-151-1361-236-596-1370-1176-1404-452-278
6981-151-143-1361-236-759-587-1176-1404-434-278,6958-151-151-1361-236-1253-1370-1176-1404-434-434
6976-135-151-2069-236-1253-1370-1176-1405-434-291,6958-151-151-1361-236-1253-1370-1176-1405-434-95
5516-135-151-2069-236-1253-1370-1176-1407-434-291,6958-151-151-1361-236-1253-1370-1176-1405-434-95
6981-135-151-1361-236-1253-1371-1176-1404-434-291,6981-570-151-1361-236-290-1370-1176-1404-434-291
6981-135-151-1361-236-1253-1371-1176-1404-434-291,6981-147-151-1361-236-650-586-1176-1404-434-291
6981-135-151-1361-236-1253-1371-1176-1404-434-291,6958-151-151-1361-236-1253-1370-1176-1404-434-434
6981-135-151-1361-237-1147-1371-1176-1404-434-291,6981-135-151-1361-238-596-1371-1176-1404-434-291
6981-135-151-1361-237-1147-1371-1176-1404-434-291,6981-146-151-1361-414-290-1370-1176-1404-434-291
6981-146-151-1361-236-596-1370-1176-1411-434-108,6811-151-151-1361-236-1253-1370-1176-1377-434-278
6981-146-151-1361-414-290-1370-1176-1404-434-291,6958-151-151-1361-236-1253-1370-1176-1404-434-434
6981-570-151-1361-236-290-1370-1176-1404-434-291,6981-147-151-1361-236-650-586-1176-1404-434-291
6981-570-151-1361-236-290-1370-1176-1404-434-291,6980-151-151-1361-236-1253-1370-1176-1404-434-95
6981-570-151-1361-236-290-1370-1176-1404-434-291,6958-151-151-1361-236-1253-1370-1176-1405-434-95
6981-570-151-1361-236-290-1370-1176-1404-434-291,6811-151-151-1361-236-1253-1370-1176-1377-434-278
6958-151-151-1361-236-1253-1370-1176-1404-434-434,6811-151-151-1361-236-1253-1370-1176-1377-434-278
